driver,spec,month,kind,n_files,n_lines,delta_files,delta_lines,commit
PYTHON,retryable-reads,2019-04,intro,41,18200,41,18200,ff689253
PYTHON,connection-monitoring-and-pooling,2019-06,intro,18,831,18,831,0f30d165
PYTHON,sessions,2019-06,intro,1,523,1,523,0f30d165
PYTHON,sessions,2021-06,phase,6,2638,4,1787,fd845654
PYTHON,client-side-encryption,2019-08,intro,41,21391,41,21391,7d8ade1f
PYTHON,client-side-encryption,2020-11,phase,48,32765,4,11232,56258606
PYTHON,client-side-encryption,2022-06,phase,85,50270,33,12602,6d916d68
PYTHON,client-side-encryption,2023-01,phase,142,88935,57,38657,540562a6
PYTHON,client-side-encryption,2025-09,phase,258,154061,99,59460,215b3b19
PYTHON,initial-dns-seedlist-discovery,2019-11,intro,21,208,21,208,eda4fbb1
PYTHON,initial-dns-seedlist-discovery,2021-10,phase,54,608,21,242,9f6c6a30
PYTHON,atlas-data-lake-testing,2020-12,intro,7,276,7,276,6b012359
PYTHON,unified-test-format,2020-12,intro,161,7392,161,7392,6b012359
PYTHON,versioned-api,2021-01,intro,6,2796,6,2796,7ca1efda
PYTHON,load-balancers,2021-05,intro,4,416,4,416,d26bf933
PYTHON,load-balancers,2021-06,phase,8,3911,4,3495,fd845654
PYTHON,collection-management,2021-06,intro,1,271,1,271,fd845654
PYTHON,client-side-operations-timeout,2022-06,intro,26,39093,26,39093,6d916d68
PYTHON,run-command,2023-06,intro,2,1512,2,1512,46276439
PYTHON,index-management,2023-07,intro,5,604,5,604,b7796e17
PYTHON,faas-automated-testing,2023-08,intro,2,111,2,111,f2867a9a
PYTHON,command-logging-and-monitoring,2024-02,intro,15,4735,15,4735,3510c4e5
PYTHON,client-backpressure,2026-04,intro,4,7486,4,7486,e67931df
RUBY,server-discovery-and-monitoring,2015-01,intro,37,1740,37,1740,ae714abf
RUBY,server-discovery-and-monitoring,2020-05,phase,168,10481,73,4932,ddaa661e
RUBY,server-selection,2015-02,intro,24,538,24,538,2d3787e3
RUBY,command-monitoring,2015-07,intro,5,400,5,400,6de90ba6
RUBY,max-staleness,2016-09,intro,32,1029,32,1029,7aa44796
RUBY,change-streams,2018-08,intro,2,351,2,351,1f07982c
RUBY,change-streams,2020-04,phase,4,2855,2,2242,ded669b0
RUBY,connection-string,2018-08,intro,8,1162,8,1162,1f07982c
RUBY,crud,2018-08,intro,37,1989,37,1989,1f07982c
RUBY,crud,2019-07,phase,45,3004,8,1015,04ca01aa
RUBY,crud,2020-04,phase,83,5413,38,2322,ded669b0
